| #  | Prompt test                                                                                                                | Document nên được retrieve | Mục đích test                     |
| 41 | Lá cây chuyển màu đồng, có rất nhiều chấm nhỏ nhưng không thấy vết bệnh tròn hay vòng đồng tâm. Tôi nên kiểm tra gì trước? | Nhện đỏ hai chấm           | Ambiguous symptom                 |
| 42 | Bí có các mảng trắng dạng bột trên lá và thân, thời tiết không mưa nhiều nhưng bệnh vẫn lan. Có thể là bệnh gì?            | Phấn trắng cây bí          | Semantic retrieval                |
| 43 | Tại sao bệnh phấn trắng trên bí vẫn có thể phát triển trong điều kiện khá khô?                                             | Phấn trắng cây bí          | Causal retrieval                  |
| 44 | Khoảng nhiệt độ nào thuận lợi cho bệnh phấn trắng trên bí?                                                                 | Phấn trắng cây bí          | Numerical retrieval               |
| 45 | Cần phun thuốc vào vị trí nào trên lá bí để quản lý phấn trắng hiệu quả?                                                   | Phấn trắng cây bí          | Practical retrieval               |
| 46 | Dâu tây có nhiều đốm nâu tím, mô giữa các đốm chuyển đỏ tím, mép lá khô cong như bị cháy. Bệnh gì?                         | Cháy lá dâu tây            | Symptom retrieval                 |
| 47 | Làm sao phân biệt leaf scorch với common leaf spot trên dâu tây?                                                           | Cháy lá dâu tây            | Differential retrieval            |
| 48 | Tại sao tưới nhỏ giọt giúp giảm bệnh cháy lá dâu tây?                                                                      | Cháy lá dâu tây            | Causal retrieval                  |
| 49 | Khoai tây có đốm nâu sẫm với các vòng đồng tâm trên lá già và củ có vết lõm khô như bần. Bệnh gì?                          | Cháy sớm khoai tây         | Cross-organ symptoms              |
| 50 | Early blight trên khoai tây thường tăng nhanh ở giai đoạn nào của cây?                                                     | Cháy sớm khoai tây         | Growth stage retrieval            |
